DOWNLOAD DATE AND TIME: 08/05/2023 - 13:11:08
 
TAG: LCA-3119-J10-   SN: 20000   MANUF.DATE: 09/23/2022
 
OPERATION MODE: LOCAL/SCADA   
USE MODE: 		CPO           
 
PRESSURES
LINE PRESSURE         RANGE:     0/10000 PSI
P2                    RANGE:     0/10000 PSI
P3                    RANGE:     0/15000 PSI
PILOT PRESSURE        RANGE:     0/  232 PSI
POWER PRESSURE        RANGE:     0/ 3626 PSI
 
VALVES
V1 TYPE:   VSM   OPENING TIME OUT:  60 S   CLOSING TIME OUT: 120 S   STARTING TIME:   0 S   PST FREQ.:     0 H
V2 TYPE:  WING   OPENING TIME OUT:  30 S   CLOSING TIME OUT: 120 S   PST FREQ.:     0 H
V3 TYPE: CHOKE   OPENING TIME OUT:  50 S   CLOSING TIME OUT:  50 S   ENABLED: YES   POS. INDICATOR: YES
 
TRIGGERS
LOW LEVEL:   711 PSI   HIGH LEVEL:  1565 PSI   HYSTERESIS:    50 PSI
 
CHOKE CONFIG
POSITION: + RESTR.
 
HYDRAULIC CONFIG
PUMP SELECTION: ALTERNATE
MIN. POWER PRESSURE:  1300 PSI
MAX. POWER PRESSURE:  1800 PSI
MIN. PILOT PRESSURE:    50 PSI
MAX. PILOT PRESSURE:   120 PSI
MAX. LIMIT PRESSURE:  3000 PSI
FIST HIT DETECTION PRESSURE:    10 PSI
 
SERIAL COMMUNICATION
ENABLE: YES  PROTOCOL: MODBUS-RTU   BAUD RATE: 9600   PARITY: NO     STOP BITS: 2   SLAVE: 1
 
FACTORY
MODEL: E02   FIRMWARE: V01.42
 
 
NUMBER OF CAPTURES: 003041
 
   DATE   ;  TIME  ;Pline; P2 ; P3 ;Ppilot;Ppower
08/03/2023;10:33:11;1236 ;0000;0000; 0086 ; 1370 
08/03/2023;10:34:13;1239 ;0000;0000; 0086 ; 1370 
08/03/2023;10:35:13;1240 ;0000;0000; 0087 ; 1374 
08/03/2023;10:36:13;1240 ;0000;0000; 0088 ; 1375 
08/03/2023;10:37:13;1240 ;0000;0000; 0086 ; 1377 
08/03/2023;10:38:12;1241 ;0000;0000; 0086 ; 1377 
08/03/2023;10:39:12;1241 ;0000;0000; 0086 ; 1379 
08/03/2023;10:40:12;1240 ;0000;0000; 0087 ; 1380 
08/03/2023;10:41:12;1236 ;0000;0000; 0087 ; 1380 
08/03/2023;10:42:12;1236 ;0000;0000; 0086 ; 1382 
08/03/2023;10:43:11;1239 ;0000;0000; 0085 ; 1384 
08/03/2023;10:44:11;1240 ;0000;0000; 0085 ; 1384 
08/03/2023;10:45:11;1240 ;0000;0000; 0085 ; 1385 
08/03/2023;10:46:11;1240 ;0000;0000; 0084 ; 1385 
08/03/2023;10:47:11;1244 ;0000;0000; 0084 ; 1387 
08/03/2023;10:48:11;1244 ;0000;0000; 0085 ; 1387 
08/03/2023;10:49:10;1244 ;0000;0000; 0086 ; 1389 
08/03/2023;10:50:10;1244 ;0000;0000; 0086 ; 1390 
08/03/2023;10:51:10;1244 ;0000;0000; 0086 ; 1390 
08/03/2023;10:52:10;1244 ;0000;0000; 0085 ; 1392 
08/03/2023;10:53:10;1244 ;0000;0000; 0085 ; 1394 
08/03/2023;10:54:09;1249 ;0000;0000; 0085 ; 1395 
08/03/2023;10:55:09;1249 ;0000;0000; 0085 ; 1395 
08/03/2023;10:56:09;1249 ;0000;0000; 0085 ; 1397 
08/03/2023;10:57:09;1249 ;0000;0000; 0084 ; 1397 
08/03/2023;10:58:09;1250 ;0000;0000; 0084 ; 1399 
08/03/2023;10:59:08;1250 ;0000;0000; 0083 ; 1399 
08/03/2023;11:00:08;1249 ;0000;0000; 0084 ; 1399 
08/03/2023;11:01:08;1249 ;0000;0000; 0084 ; 1400 
08/03/2023;11:02:08;1249 ;0000;0000; 0084 ; 1402 
08/03/2023;11:03:08;1250 ;0000;0000; 0084 ; 1402 
08/03/2023;11:04:07;1254 ;0000;0000; 0084 ; 1404 
08/03/2023;11:05:07;1254 ;0000;0000; 0084 ; 1405 
08/03/2023;11:06:07;1254 ;0000;0000; 0084 ; 1405 
08/03/2023;11:07:07;1254 ;0000;0000; 0084 ; 1407 
08/03/2023;11:08:07;1255 ;0000;0000; 0084 ; 1407 
08/03/2023;11:09:06;1258 ;0000;0000; 0083 ; 1408 
08/03/2023;11:10:06;1258 ;0000;0000; 0083 ; 1408 
08/03/2023;11:11:06;1258 ;0000;0000; 0083 ; 1410 
08/03/2023;11:12:06;1255 ;0000;0000; 0084 ; 1410 
08/03/2023;11:13:05;1257 ;0000;0000; 0084 ; 1410 
08/03/2023;11:14:05;1258 ;0000;0000; 0084 ; 1412 
08/03/2023;11:15:05;1258 ;0000;0000; 0083 ; 1412 
08/03/2023;11:16:05;1258 ;0000;0000; 0083 ; 1413 
08/03/2023;11:17:04;1258 ;0000;0000; 0084 ; 1415 
08/03/2023;11:18:04;1258 ;0000;0000; 0084 ; 1417 
08/03/2023;11:19:04;1258 ;0000;0000; 0083 ; 1417 
08/03/2023;11:20:04;1258 ;0000;0000; 0083 ; 1418 
08/03/2023;11:21:04;1258 ;0000;0000; 0083 ; 1418 
08/03/2023;11:22:03;1258 ;0000;0000; 0083 ; 1420 
08/03/2023;11:23:03;1258 ;0000;0000; 0083 ; 1420 
08/03/2023;11:24:03;1255 ;0000;0000; 0083 ; 1422 
08/03/2023;11:25:03;1258 ;0000;0000; 0083 ; 1422 
08/03/2023;11:26:02;1258 ;0000;0000; 0083 ; 1423 
08/03/2023;11:27:02;1258 ;0000;0000; 0083 ; 1425 
08/03/2023;11:28:02;1258 ;0000;0000; 0083 ; 1427 
08/03/2023;11:29:02;1259 ;0000;0000; 0084 ; 1427 
08/03/2023;11:30:01;1259 ;0000;0000; 0084 ; 1428 
08/03/2023;11:31:01;1259 ;0000;0000; 0084 ; 1428 
08/03/2023;11:32:01;1259 ;0000;0000; 0083 ; 1430 
08/03/2023;11:33:01;1259 ;0000;0000; 0083 ; 1430 
08/03/2023;11:34:01;1263 ;0000;0000; 0083 ; 1432 
08/03/2023;11:35:00;1263 ;0000;0000; 0083 ; 1433 
08/03/2023;11:36:00;1263 ;0000;0000; 0083 ; 1435 
08/03/2023;11:37:00;1263 ;0000;0000; 0083 ; 1435 
08/03/2023;11:38:00;1263 ;0000;0000; 0082 ; 1437 
08/03/2023;11:38:59;1263 ;0000;0000; 0083 ; 1438 
08/03/2023;11:39:59;1264 ;0000;0000; 0083 ; 1438 
08/03/2023;11:40:59;1264 ;0000;0000; 0083 ; 1440 
08/03/2023;11:41:59;1264 ;0000;0000; 0083 ; 1442 
08/03/2023;11:42:58;1268 ;0000;0000; 0083 ; 1442 
08/03/2023;11:43:58;1268 ;0000;0000; 0083 ; 1443 
08/03/2023;11:44:58;1268 ;0000;0000; 0082 ; 1443 
08/03/2023;11:45:58;1268 ;0000;0000; 0082 ; 1443 
08/03/2023;11:46:57;1267 ;0000;0000; 0082 ; 1443 
08/03/2023;11:47:57;1266 ;0000;0000; 0083 ; 1443 
08/03/2023;11:48:57;1266 ;0000;0000; 0083 ; 1445 
08/03/2023;11:49:57;1268 ;0000;0000; 0082 ; 1447 
08/03/2023;11:50:56;1264 ;0000;0000; 0083 ; 1445 
08/03/2023;11:51:56;1264 ;0000;0000; 0083 ; 1447 
08/03/2023;11:52:56;1268 ;0000;0000; 0083 ; 1447 
08/03/2023;11:53:56;1266 ;0000;0000; 0082 ; 1448 
08/03/2023;11:54:55;1264 ;0000;0000; 0082 ; 1448 
08/03/2023;11:55:55;1264 ;0000;0000; 0082 ; 1450 
08/03/2023;11:56:55;1264 ;0000;0000; 0083 ; 1450 
08/03/2023;11:57:55;1263 ;0000;0000; 0083 ; 1450 
08/03/2023;11:58:54;1263 ;0000;0000; 0082 ; 1450 
08/03/2023;11:59:54;1263 ;0000;0000; 0082 ; 1450 
08/03/2023;12:00:54;1263 ;0000;0000; 0082 ; 1452 
08/03/2023;12:01:53;1263 ;0000;0000; 0082 ; 1452 
08/03/2023;12:02:53;1263 ;0000;0000; 0083 ; 1453 
08/03/2023;12:03:53;1264 ;0000;0000; 0082 ; 1455 
08/03/2023;12:04:53;1264 ;0000;0000; 0082 ; 1455 
08/03/2023;12:05:52;1263 ;0000;0000; 0082 ; 1455 
08/03/2023;12:06:52;1263 ;0000;0000; 0083 ; 1457 
08/03/2023;12:07:52;1263 ;0000;0000; 0084 ; 1457 
08/03/2023;12:08:52;1263 ;0000;0000; 0083 ; 1457 
08/03/2023;12:09:51;1263 ;0000;0000; 0082 ; 1458 
08/03/2023;12:10:51;1263 ;0000;0000; 0083 ; 1458 
08/03/2023;12:11:51;1263 ;0000;0000; 0082 ; 1458 
08/03/2023;12:12:51;1263 ;0000;0000; 0082 ; 1460 
08/03/2023;12:13:50;1260 ;0000;0000; 0083 ; 1460 
08/03/2023;12:14:50;1263 ;0000;0000; 0083 ; 1463 
08/03/2023;12:15:50;1264 ;0000;0000; 0081 ; 1463 
08/03/2023;12:16:50;1264 ;0000;0000; 0082 ; 1463 
08/03/2023;12:17:49;1268 ;0000;0000; 0082 ; 1465 
08/03/2023;12:18:49;1268 ;0000;0000; 0081 ; 1465 
08/03/2023;12:19:49;1268 ;0000;0000; 0082 ; 1467 
08/03/2023;12:20:49;1264 ;0000;0000; 0082 ; 1467 
08/03/2023;12:21:48;1264 ;0000;0000; 0083 ; 1467 
08/03/2023;12:22:48;1264 ;0000;0000; 0083 ; 1468 
08/03/2023;12:23:48;1264 ;0000;0000; 0082 ; 1468 
08/03/2023;12:24:48;1264 ;0000;0000; 0082 ; 1468 
08/03/2023;12:25:47;1264 ;0000;0000; 0082 ; 1470 
08/03/2023;12:26:47;1268 ;0000;0000; 0082 ; 1472 
08/03/2023;12:27:47;1268 ;0000;0000; 0082 ; 1472 
08/03/2023;12:28:47;1264 ;0000;0000; 0081 ; 1473 
08/03/2023;12:29:46;1268 ;0000;0000; 0084 ; 1475 
08/03/2023;12:30:46;1268 ;0000;0000; 0086 ; 1475 
08/03/2023;12:31:46;1264 ;0000;0000; 0085 ; 1475 
08/03/2023;12:32:46;1266 ;0000;0000; 0085 ; 1475 
08/03/2023;12:33:45;1264 ;0000;0000; 0084 ; 1477 
08/03/2023;12:34:45;1268 ;0000;0000; 0082 ; 1478 
08/03/2023;12:35:45;1268 ;0000;0000; 0082 ; 1478 
08/03/2023;12:36:45;1268 ;0000;0000; 0082 ; 1480 
08/03/2023;12:37:44;1268 ;0000;0000; 0081 ; 1482 
08/03/2023;12:38:44;1268 ;0000;0000; 0081 ; 1482 
08/03/2023;12:39:44;1264 ;0000;0000; 0081 ; 1482 
08/03/2023;12:40:44;1264 ;0000;0000; 0081 ; 1483 
08/03/2023;12:41:43;1264 ;0000;0000; 0081 ; 1485 
